年度,食品群,検体名,Bacteria,Serotype,検体数,陽性数,品目カテゴリ
2014,野菜,サラダ菜,カンピロバクター,-,-,-,厚生労働省指定品目
2014,野菜,サラダ菜,サルモネラ属菌,-,15,0,厚生労働省指定品目
2014,野菜,サラダ菜,腸管出血性大腸菌,O111,14,0,厚生労働省指定品目
2014,野菜,サラダ菜,腸管出血性大腸菌,O157,14,0,厚生労働省指定品目
2014,野菜,サラダ菜,腸管出血性大腸菌,O26,14,0,厚生労働省指定品目
2014,野菜,セロリ,E.coli,-,10,1,厚生労働省指定品目
2014,野菜,セロリ,カンピロバクター,-,-,-,厚生労働省指定品目
2014,野菜,セロリ,サルモネラ属菌,-,10,0,厚生労働省指定品目
2014,野菜,セロリ,腸管出血性大腸菌,O111,9,0,厚生労働省指定品目
2014,野菜,セロリ,腸管出血性大腸菌,O157,9,0,厚生労働省指定品目
2014,野菜,セロリ,腸管出血性大腸菌,O26,9,0,厚生労働省指定品目
2014,野菜,トマト,E.coli,-,118,5,厚生労働省指定品目
2014,野菜,トマト,カンピロバクター,-,-,-,厚生労働省指定品目
2014,野菜,トマト,サルモネラ属菌,-,58,0,厚生労働省指定品目
2014,野菜,トマト,腸管出血性大腸菌,O111,58,0,厚生労働省指定品目
2014,野菜,トマト,腸管出血性大腸菌,O157,58,0,厚生労働省指定品目
2014,野菜,トマト,腸管出血性大腸菌,O26,58,0,厚生労働省指定品目
2014,野菜,ネギ,E.coli,-,12,1,厚生労働省指定品目
2014,野菜,ネギ,カンピロバクター,-,-,-,厚生労働省指定品目
2014,野菜,ネギ,サルモネラ属菌,-,5,0,厚生労働省指定品目
2014,野菜,ネギ,腸管出血性大腸菌,O111,7,0,厚生労働省指定品目
2014,野菜,ネギ,腸管出血性大腸菌,O157,7,0,厚生労働省指定品目
2014,野菜,ネギ,腸管出血性大腸菌,O26,7,0,厚生労働省指定品目
2014,野菜,ピーマン,E.coli,-,11,1,厚生労働省指定品目
2014,野菜,ピーマン,カンピロバクター,-,-,-,厚生労働省指定品目
2014,野菜,ピーマン,サルモネラ属菌,-,3,0,厚生労働省指定品目
2014,野菜,ピーマン,腸管出血性大腸菌,O111,6,0,厚生労働省指定品目
2014,野菜,ピーマン,腸管出血性大腸菌,O157,6,0,厚生労働省指定品目
2014,野菜,ピーマン,腸管出血性大腸菌,O26,6,0,厚生労働省指定品目
2014,野菜,ブロッコリースプラウト,E.coli,-,15,2,厚生労働省指定品目
2014,野菜,ブロッコリースプラウト,カンピロバクター,-,-,-,厚生労働省指定品目
2014,野菜,ブロッコリースプラウト,サルモネラ属菌,-,7,0,厚生労働省指定品目
2014,野菜,ブロッコリースプラウト,腸管出血性大腸菌,O111,8,0,厚生労働省指定品目
2014,野菜,ブロッコリースプラウト,腸管出血性大腸菌,O157,8,0,厚生労働省指定品目
2014,野菜,ブロッコリースプラウト,腸管出血性大腸菌,O26,8,0,厚生労働省指定品目
2014,野菜,ミニトマト,E.coli,-,18,0,厚生労働省指定品目
2014,野菜,ミニトマト,カンピロバクター,-,-,-,厚生労働省指定品目
2014,野菜,ミニトマト,サルモネラ属菌,-,8,0,厚生労働省指定品目
2014,野菜,ミニトマト,腸管出血性大腸菌,O111,8,0,厚生労働省指定品目
2014,野菜,ミニトマト,腸管出血性大腸菌,O157,8,0,厚生労働省指定品目
2014,野菜,ミニトマト,腸管出血性大腸菌,O26,8,0,厚生労働省指定品目
2014,野菜,レタス,E.coli,-,117,12,厚生労働省指定品目
2014,野菜,レタス,カンピロバクター,-,-,-,厚生労働省指定品目
2014,野菜,レタス,サルモネラ属菌,-,74,0,厚生労働省指定品目
2014,野菜,レタス,腸管出血性大腸菌,O111,82,0,厚生労働省指定品目
2014,野菜,レタス,腸管出血性大腸菌,O157,82,0,厚生労働省指定品目
2014,野菜,レタス,腸管出血性大腸菌,O26,82,0,厚生労働省指定品目
2014,野菜,水菜,E.coli,-,78,13,厚生労働省指定品目
2014,野菜,水菜,カンピロバクター,-,-,-,厚生労働省指定品目
2014,野菜,水菜,サルモネラ属菌,-,51,0,厚生労働省指定品目
2014,野菜,水菜,腸管出血性大腸菌,O111,62,0,厚生労働省指定品目
2014,野菜,水菜,腸管出血性大腸菌,O157,62,0,厚生労働省指定品目
2014,野菜,水菜,腸管出血性大腸菌,O26,62,0,厚生労働省指定品目
2014,野菜,漬物用野菜,E.coli,-,273,17,厚生労働省指定品目
2014,野菜,漬物用野菜,カンピロバクター,-,-,-,厚生労働省指定品目
2014,野菜,漬物用野菜,サルモネラ属菌,-,106,0,厚生労働省指定品目
2014,野菜,漬物用野菜,腸管出血性大腸菌,O111,169,0,厚生労働省指定品目
2014,野菜,漬物用野菜,腸管出血性大腸菌,O157,169,0,厚生労働省指定品目
2014,野菜,漬物用野菜,腸管出血性大腸菌,O26,169,0,厚生労働省指定品目
2014,野菜,豆苗,E.coli,-,20,2,厚生労働省指定品目
2014,野菜,豆苗,カンピロバクター,-,-,-,厚生労働省指定品目
2014,野菜,豆苗,サルモネラ属菌,-,15,0,厚生労働省指定品目
2014,野菜,豆苗,腸管出血性大腸菌,O111,16,0,厚生労働省指定品目
2014,野菜,豆苗,腸管出血性大腸菌,O157,16,0,厚生労働省指定品目
2014,野菜,豆苗,腸管出血性大腸菌,O26,16,0,厚生労働省指定品目
2014,食肉,その他の加工用食肉等*3,E.coli,-,12,12,実選施定自品治目体
2014,食肉,その他の加工用食肉等*3,カンピロバクター,-,14,10,実選施定自品治目体
2014,食肉,その他の加工用食肉等*3,サルモネラ属菌,-,18,9,実選施定自品治目体
2014,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O111,14,0,実選施定自品治目体
2014,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O157,14,0,実選施定自品治目体
2014,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O26,14,0,実選施定自品治目体
2014,食肉,その他生食用の食肉*5,E.coli,-,1,1,実選施定自品治目体
2014,食肉,その他生食用の食肉*5,カンピロバクター,-,1,0,実選施定自品治目体
2014,食肉,その他生食用の食肉*5,サルモネラ属菌,-,1,0,実選施定自品治目体
2014,食肉,その他生食用の食肉*5,腸管出血性大腸菌,O111,1,0,実選施定自品治目体
2014,食肉,その他生食用の食肉*5,腸管出血性大腸菌,O157,1,0,実選施定自品治目体
2014,食肉,その他生食用の食肉*5,腸管出血性大腸菌,O26,1,0,実選施定自品治目体
2014,食肉,カットステーキ肉,E.coli,-,1,0,厚生労働省指定品目
2014,食肉,カットステーキ肉,カンピロバクター,-,-,-,厚生労働省指定品目
2014,食肉,カットステーキ肉,サルモネラ属菌,-,76,0,厚生労働省指定品目
2014,食肉,カットステーキ肉,腸管出血性大腸菌,O111,76,0,厚生労働省指定品目
2014,食肉,カットステーキ肉,腸管出血性大腸菌,O157,76,0,厚生労働省指定品目
2014,食肉,カットステーキ肉,腸管出血性大腸菌,O26,76,0,厚生労働省指定品目
2014,食肉,ミンチ肉（牛豚混合）,E.coli,-,3,2,厚生労働省指定品目
2014,食肉,ミンチ肉（牛豚混合）,カンピロバクター,-,2,0,厚生労働省指定品目
2014,食肉,ミンチ肉（牛豚混合）,サルモネラ属菌,-,93,2,厚生労働省指定品目
2014,食肉,ミンチ肉（牛豚混合）,腸管出血性大腸菌,O111,92,0,厚生労働省指定品目
2014,食肉,ミンチ肉（牛豚混合）,腸管出血性大腸菌,O157,92,0,厚生労働省指定品目
2014,食肉,ミンチ肉（牛豚混合）,腸管出血性大腸菌,O26,92,0,厚生労働省指定品目
2014,食肉,ミンチ肉（牛）,E.coli,-,4,0,厚生労働省指定品目
2014,食肉,ミンチ肉（牛）,カンピロバクター,-,-,-,厚生労働省指定品目
2014,食肉,ミンチ肉（牛）,サルモネラ属菌,-,41,1,厚生労働省指定品目
2014,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O111,41,0,厚生労働省指定品目
2014,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O157,41,0,厚生労働省指定品目
2014,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O26,41,0,厚生労働省指定品目
2014,食肉,ミンチ肉（豚）,E.coli,-,4,1,厚生労働省指定品目
2014,食肉,ミンチ肉（豚）,カンピロバクター,-,1,0,厚生労働省指定品目
2014,食肉,ミンチ肉（豚）,サルモネラ属菌,-,102,5,厚生労働省指定品目
2014,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O111,102,0,厚生労働省指定品目
2014,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O157,102,1,厚生労働省指定品目
2014,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O26,102,0,厚生労働省指定品目
2014,食肉,ミンチ肉（鶏）,E.coli,-,3,2,厚生労働省指定品目
2014,食肉,ミンチ肉（鶏）,カンピロバクター,-,3,0,厚生労働省指定品目
2014,食肉,ミンチ肉（鶏）,サルモネラ属菌,-,33,18,厚生労働省指定品目
2014,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O111,31,0,厚生労働省指定品目
2014,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O157,31,0,厚生労働省指定品目
2014,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O26,31,0,厚生労働省指定品目
2014,食肉,ローストビーフ,E.coli,-,4,1,厚生労働省指定品目
2014,食肉,ローストビーフ,カンピロバクター,-,5,0,厚生労働省指定品目
2014,食肉,ローストビーフ,サルモネラ属菌,-,5,0,厚生労働省指定品目
2014,食肉,ローストビーフ,腸管出血性大腸菌,O111,4,0,厚生労働省指定品目
2014,食肉,ローストビーフ,腸管出血性大腸菌,O157,4,0,厚生労働省指定品目
2014,食肉,ローストビーフ,腸管出血性大腸菌,O26,4,0,厚生労働省指定品目
2014,食肉,中心部まで十分加熱されない食肉（鶏）*2,E.coli,-,31,24,厚生労働省指定品目
2014,食肉,中心部まで十分加熱されない食肉（鶏）*2,カンピロバクター,-,41,7,厚生労働省指定品目
2014,食肉,中心部まで十分加熱されない食肉（鶏）*2,サルモネラ属菌,-,41,0,厚生労働省指定品目
2014,食肉,中心部まで十分加熱されない食肉（鶏）*2,腸管出血性大腸菌,O111,31,0,厚生労働省指定品目
2014,食肉,中心部まで十分加熱されない食肉（鶏）*2,腸管出血性大腸菌,O157,31,0,厚生労働省指定品目
2014,食肉,中心部まで十分加熱されない食肉（鶏）*2,腸管出血性大腸菌,O26,31,0,厚生労働省指定品目
2014,食肉,牛結着肉,E.coli,-,4,2,厚生労働省指定品目
2014,食肉,牛結着肉,カンピロバクター,-,-,-,厚生労働省指定品目
2014,食肉,牛結着肉,サルモネラ属菌,-,26,2,厚生労働省指定品目
2014,食肉,牛結着肉,腸管出血性大腸菌,O111,26,0,厚生労働省指定品目
2014,食肉,牛結着肉,腸管出血性大腸菌,O157,26,0,厚生労働省指定品目
2014,食肉,牛結着肉,腸管出血性大腸菌,O26,26,0,厚生労働省指定品目
2014,食肉,牛肉,E.coli,-,-,-,実選施定自品治目体
2014,食肉,牛肉,カンピロバクター,-,-,-,実選施定自品治目体
2014,食肉,牛肉,サルモネラ属菌,-,10,0,実選施定自品治目体
2014,食肉,牛肉,腸管出血性大腸菌,O111,10,0,実選施定自品治目体
2014,食肉,牛肉,腸管出血性大腸菌,O157,10,0,実選施定自品治目体
2014,食肉,牛肉,腸管出血性大腸菌,O26,10,0,実選施定自品治目体
2014,食肉,生食用の食肉（牛）,E.coli,-,-,-,厚生労働省指定品目
2014,食肉,生食用の食肉（牛）,カンピロバクター,-,4,0,厚生労働省指定品目
2014,食肉,生食用の食肉（牛）,サルモネラ属菌,-,5,0,厚生労働省指定品目
2014,食肉,生食用の食肉（牛）,腸管出血性大腸菌,O111,-,-,厚生労働省指定品目
2014,食肉,生食用の食肉（牛）,腸管出血性大腸菌,O157,-,-,厚生労働省指定品目
2014,食肉,生食用の食肉（牛）,腸管出血性大腸菌,O26,-,-,厚生労働省指定品目
2014,食肉,生食用の食肉（馬）,E.coli,-,63,11,厚生労働省指定品目
2014,食肉,生食用の食肉（馬）,カンピロバクター,-,99,0,厚生労働省指定品目
2014,食肉,生食用の食肉（馬）,サルモネラ属菌,-,97,0,厚生労働省指定品目
2014,食肉,生食用の食肉（馬）,腸管出血性大腸菌,O111,68,0,厚生労働省指定品目
2014,食肉,生食用の食肉（馬）,腸管出血性大腸菌,O157,68,0,厚生労働省指定品目
2014,食肉,生食用の食肉（馬）,腸管出血性大腸菌,O26,68,0,厚生労働省指定品目
2014,食肉,生食用の食肉（鶏）,E.coli,-,5,4,厚生労働省指定品目
2014,食肉,生食用の食肉（鶏）,カンピロバクター,-,6,3,厚生労働省指定品目
2014,食肉,生食用の食肉（鶏）,サルモネラ属菌,-,6,3,厚生労働省指定品目
2014,食肉,生食用の食肉（鶏）,腸管出血性大腸菌,O111,5,0,厚生労働省指定品目
2014,食肉,生食用の食肉（鶏）,腸管出血性大腸菌,O157,5,0,厚生労働省指定品目
2014,食肉,生食用の食肉（鶏）,腸管出血性大腸菌,O26,5,0,厚生労働省指定品目
2014,食肉,食肉加工品*4,E.coli,-,1,0,実選施定自品治目体
2014,食肉,食肉加工品*4,カンピロバクター,-,1,0,実選施定自品治目体
2014,食肉,食肉加工品*4,サルモネラ属菌,-,5,0,実選施定自品治目体
2014,食肉,食肉加工品*4,腸管出血性大腸菌,O111,5,0,実選施定自品治目体
2014,食肉,食肉加工品*4,腸管出血性大腸菌,O157,5,0,実選施定自品治目体
2014,食肉,食肉加工品*4,腸管出血性大腸菌,O26,5,0,実選施定自品治目体
2015,加工品,漬物,E.coli,-,364,32,厚生労働省指定品目
2015,加工品,漬物,サルモネラ属菌,-,193,0,厚生労働省指定品目
2015,加工品,漬物,総検体数,-,,,厚生労働省指定品目
2015,加工品,漬物,腸管出血性大腸菌,O103,204,0,厚生労働省指定品目
2015,加工品,漬物,腸管出血性大腸菌,O111,267,0,厚生労働省指定品目
2015,加工品,漬物,腸管出血性大腸菌,O121,204,0,厚生労働省指定品目
2015,加工品,漬物,腸管出血性大腸菌,O145,204,0,厚生労働省指定品目
2015,加工品,漬物,腸管出血性大腸菌,O157,267,0,厚生労働省指定品目
2015,加工品,漬物,腸管出血性大腸菌,O26,267,0,厚生労働省指定品目
2015,野菜,その他*1の生食用野菜,E.coli,-,122,16,厚生労働省指定品目
2015,野菜,その他*1の生食用野菜,サルモネラ属菌,-,79,0,厚生労働省指定品目
2015,野菜,その他*1の生食用野菜,総検体数,-,,,厚生労働省指定品目
2015,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O103,67,0,厚生労働省指定品目
2015,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O111,79,0,厚生労働省指定品目
2015,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O121,67,0,厚生労働省指定品目
2015,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O145,67,0,厚生労働省指定品目
2015,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O157,79,0,厚生労働省指定品目
2015,野菜,その他*1の生食用野菜,腸管出血性大腸菌,O26,79,0,厚生労働省指定品目
2015,野菜,みつば,E.coli,-,38,12,厚生労働省指定品目
2015,野菜,みつば,サルモネラ属菌,-,16,0,厚生労働省指定品目
2015,野菜,みつば,総検体数,-,,,厚生労働省指定品目
2015,野菜,みつば,腸管出血性大腸菌,O103,17,0,厚生労働省指定品目
2015,野菜,みつば,腸管出血性大腸菌,O111,19,0,厚生労働省指定品目
2015,野菜,みつば,腸管出血性大腸菌,O121,17,0,厚生労働省指定品目
2015,野菜,みつば,腸管出血性大腸菌,O145,17,0,厚生労働省指定品目
2015,野菜,みつば,腸管出血性大腸菌,O157,19,0,厚生労働省指定品目
2015,野菜,みつば,腸管出血性大腸菌,O26,19,0,厚生労働省指定品目
2015,野菜,もやし,E.coli,-,94,47,厚生労働省指定品目
2015,野菜,もやし,サルモネラ属菌,-,48,0,厚生労働省指定品目
2015,野菜,もやし,総検体数,-,,,厚生労働省指定品目
2015,野菜,もやし,腸管出血性大腸菌,O103,38,0,厚生労働省指定品目
2015,野菜,もやし,腸管出血性大腸菌,O111,52,0,厚生労働省指定品目
2015,野菜,もやし,腸管出血性大腸菌,O121,38,0,厚生労働省指定品目
2015,野菜,もやし,腸管出血性大腸菌,O145,38,0,厚生労働省指定品目
2015,野菜,もやし,腸管出血性大腸菌,O157,52,0,厚生労働省指定品目
2015,野菜,もやし,腸管出血性大腸菌,O26,52,0,厚生労働省指定品目
2015,野菜,アルファルファ,E.coli,-,23,1,厚生労働省指定品目
2015,野菜,アルファルファ,サルモネラ属菌,-,10,0,厚生労働省指定品目
2015,野菜,アルファルファ,総検体数,-,,,厚生労働省指定品目
2015,野菜,アルファルファ,腸管出血性大腸菌,O103,11,0,厚生労働省指定品目
2015,野菜,アルファルファ,腸管出血性大腸菌,O111,13,0,厚生労働省指定品目
2015,野菜,アルファルファ,腸管出血性大腸菌,O121,11,0,厚生労働省指定品目
2015,野菜,アルファルファ,腸管出血性大腸菌,O145,11,0,厚生労働省指定品目
2015,野菜,アルファルファ,腸管出血性大腸菌,O157,13,0,厚生労働省指定品目
2015,野菜,アルファルファ,腸管出血性大腸菌,O26,13,0,厚生労働省指定品目
2015,野菜,カイワレ,E.coli,-,78,11,厚生労働省指定品目
2015,野菜,カイワレ,サルモネラ属菌,-,41,0,厚生労働省指定品目
2015,野菜,カイワレ,総検体数,-,,,厚生労働省指定品目
2015,野菜,カイワレ,腸管出血性大腸菌,O103,49,0,厚生労働省指定品目
2015,野菜,カイワレ,腸管出血性大腸菌,O111,53,0,厚生労働省指定品目
2015,野菜,カイワレ,腸管出血性大腸菌,O121,49,0,厚生労働省指定品目
2015,野菜,カイワレ,腸管出血性大腸菌,O145,49,0,厚生労働省指定品目
2015,野菜,カイワレ,腸管出血性大腸菌,O157,53,0,厚生労働省指定品目
2015,野菜,カイワレ,腸管出血性大腸菌,O26,53,0,厚生労働省指定品目
2015,野菜,カット野菜,E.coli,-,341,10,厚生労働省指定品目
2015,野菜,カット野菜,サルモネラ属菌,-,187,0,厚生労働省指定品目
2015,野菜,カット野菜,総検体数,-,,,厚生労働省指定品目
2015,野菜,カット野菜,腸管出血性大腸菌,O103,152,0,厚生労働省指定品目
2015,野菜,カット野菜,腸管出血性大腸菌,O111,208,0,厚生労働省指定品目
2015,野菜,カット野菜,腸管出血性大腸菌,O121,152,0,厚生労働省指定品目
2015,野菜,カット野菜,腸管出血性大腸菌,O145,152,0,厚生労働省指定品目
2015,野菜,カット野菜,腸管出血性大腸菌,O157,208,0,厚生労働省指定品目
2015,野菜,カット野菜,腸管出血性大腸菌,O26,208,0,厚生労働省指定品目
2015,野菜,キャベツ,E.coli,-,12,0,厚生労働省指定品目
2015,野菜,キャベツ,サルモネラ属菌,-,5,0,厚生労働省指定品目
2015,野菜,キャベツ,総検体数,-,,,厚生労働省指定品目
2015,野菜,キャベツ,腸管出血性大腸菌,O103,7,0,厚生労働省指定品目
2015,野菜,キャベツ,腸管出血性大腸菌,O111,7,0,厚生労働省指定品目
2015,野菜,キャベツ,腸管出血性大腸菌,O121,7,0,厚生労働省指定品目
2015,野菜,キャベツ,腸管出血性大腸菌,O145,7,0,厚生労働省指定品目
2015,野菜,キャベツ,腸管出血性大腸菌,O157,7,0,厚生労働省指定品目
2015,野菜,キャベツ,腸管出血性大腸菌,O26,7,0,厚生労働省指定品目
2015,野菜,キュウリ,E.coli,-,106,8,厚生労働省指定品目
2015,野菜,キュウリ,サルモネラ属菌,-,42,0,厚生労働省指定品目
2015,野菜,キュウリ,総検体数,-,,,厚生労働省指定品目
2015,野菜,キュウリ,腸管出血性大腸菌,O103,56,0,厚生労働省指定品目
2015,野菜,キュウリ,腸管出血性大腸菌,O111,67,0,厚生労働省指定品目
2015,野菜,キュウリ,腸管出血性大腸菌,O121,56,0,厚生労働省指定品目
2015,野菜,キュウリ,腸管出血性大腸菌,O145,56,0,厚生労働省指定品目
2015,野菜,キュウリ,腸管出血性大腸菌,O157,67,0,厚生労働省指定品目
2015,野菜,キュウリ,腸管出血性大腸菌,O26,67,0,厚生労働省指定品目
2015,野菜,サラダ菜,E.coli,-,11,1,厚生労働省指定品目
2015,野菜,サラダ菜,サルモネラ属菌,-,7,0,厚生労働省指定品目
2015,野菜,サラダ菜,総検体数,-,,,厚生労働省指定品目
2015,野菜,サラダ菜,腸管出血性大腸菌,O103,4,0,厚生労働省指定品目
2015,野菜,サラダ菜,腸管出血性大腸菌,O111,6,0,厚生労働省指定品目
2015,野菜,サラダ菜,腸管出血性大腸菌,O121,4,0,厚生労働省指定品目
2015,野菜,サラダ菜,腸管出血性大腸菌,O145,4,0,厚生労働省指定品目
2015,野菜,サラダ菜,腸管出血性大腸菌,O157,6,0,厚生労働省指定品目
2015,野菜,サラダ菜,腸管出血性大腸菌,O26,6,0,厚生労働省指定品目
2015,野菜,トマト,E.coli,-,111,3,厚生労働省指定品目
2015,野菜,トマト,サルモネラ属菌,-,49,0,厚生労働省指定品目
2015,野菜,トマト,総検体数,-,,,厚生労働省指定品目
2015,野菜,トマト,腸管出血性大腸菌,O103,50,0,厚生労働省指定品目
2015,野菜,トマト,腸管出血性大腸菌,O111,60,0,厚生労働省指定品目
2015,野菜,トマト,腸管出血性大腸菌,O121,50,0,厚生労働省指定品目
2015,野菜,トマト,腸管出血性大腸菌,O145,50,0,厚生労働省指定品目
2015,野菜,トマト,腸管出血性大腸菌,O157,60,0,厚生労働省指定品目
2015,野菜,トマト,腸管出血性大腸菌,O26,60,0,厚生労働省指定品目
2015,野菜,ネギ,E.coli,-,17,1,厚生労働省指定品目
2015,野菜,ネギ,サルモネラ属菌,-,6,0,厚生労働省指定品目
2015,野菜,ネギ,総検体数,-,,,厚生労働省指定品目
2015,野菜,ネギ,腸管出血性大腸菌,O103,6,0,厚生労働省指定品目
2015,野菜,ネギ,腸管出血性大腸菌,O111,7,0,厚生労働省指定品目
2015,野菜,ネギ,腸管出血性大腸菌,O121,6,0,厚生労働省指定品目
2015,野菜,ネギ,腸管出血性大腸菌,O145,6,0,厚生労働省指定品目
2015,野菜,ネギ,腸管出血性大腸菌,O157,7,0,厚生労働省指定品目
2015,野菜,ネギ,腸管出血性大腸菌,O26,7,0,厚生労働省指定品目
2015,野菜,ピーマン,E.coli,-,12,0,厚生労働省指定品目
2015,野菜,ピーマン,総検体数,-,,,厚生労働省指定品目
2015,野菜,ピーマン,腸管出血性大腸菌,O103,1,0,厚生労働省指定品目
2015,野菜,ピーマン,腸管出血性大腸菌,O111,1,0,厚生労働省指定品目
2015,野菜,ピーマン,腸管出血性大腸菌,O121,1,0,厚生労働省指定品目
2015,野菜,ピーマン,腸管出血性大腸菌,O145,1,0,厚生労働省指定品目
2015,野菜,ピーマン,腸管出血性大腸菌,O157,1,0,厚生労働省指定品目
2015,野菜,ピーマン,腸管出血性大腸菌,O26,1,0,厚生労働省指定品目
2015,野菜,ミニトマト,E.coli,-,16,2,厚生労働省指定品目
2015,野菜,ミニトマト,サルモネラ属菌,-,14,0,厚生労働省指定品目
2015,野菜,ミニトマト,総検体数,-,,,厚生労働省指定品目
2015,野菜,ミニトマト,腸管出血性大腸菌,O103,9,0,厚生労働省指定品目
2015,野菜,ミニトマト,腸管出血性大腸菌,O111,15,0,厚生労働省指定品目
2015,野菜,ミニトマト,腸管出血性大腸菌,O121,9,0,厚生労働省指定品目
2015,野菜,ミニトマト,腸管出血性大腸菌,O145,9,0,厚生労働省指定品目
2015,野菜,ミニトマト,腸管出血性大腸菌,O157,15,0,厚生労働省指定品目
2015,野菜,ミニトマト,腸管出血性大腸菌,O26,15,0,厚生労働省指定品目
2015,野菜,レタス,E.coli,-,93,7,厚生労働省指定品目
2015,野菜,レタス,サルモネラ属菌,-,47,0,厚生労働省指定品目
2015,野菜,レタス,総検体数,-,,,厚生労働省指定品目
2015,野菜,レタス,腸管出血性大腸菌,O103,37,0,厚生労働省指定品目
2015,野菜,レタス,腸管出血性大腸菌,O111,49,0,厚生労働省指定品目
2015,野菜,レタス,腸管出血性大腸菌,O121,37,0,厚生労働省指定品目
2015,野菜,レタス,腸管出血性大腸菌,O145,37,0,厚生労働省指定品目
2015,野菜,レタス,腸管出血性大腸菌,O157,49,0,厚生労働省指定品目
2015,野菜,レタス,腸管出血性大腸菌,O26,49,0,厚生労働省指定品目
2015,野菜,水菜,E.coli,-,77,8,厚生労働省指定品目
2015,野菜,水菜,サルモネラ属菌,-,39,0,厚生労働省指定品目
2015,野菜,水菜,総検体数,-,,,厚生労働省指定品目
2015,野菜,水菜,腸管出血性大腸菌,O103,51,0,厚生労働省指定品目
2015,野菜,水菜,腸管出血性大腸菌,O111,55,0,厚生労働省指定品目
2015,野菜,水菜,腸管出血性大腸菌,O121,51,0,厚生労働省指定品目
2015,野菜,水菜,腸管出血性大腸菌,O145,51,0,厚生労働省指定品目
2015,野菜,水菜,腸管出血性大腸菌,O157,55,0,厚生労働省指定品目
2015,野菜,水菜,腸管出血性大腸菌,O26,55,0,厚生労働省指定品目
2015,野菜,漬物用野菜,E.coli,-,257,21,厚生労働省指定品目
2015,野菜,漬物用野菜,サルモネラ属菌,-,101,0,厚生労働省指定品目
2015,野菜,漬物用野菜,総検体数,-,,,厚生労働省指定品目
2015,野菜,漬物用野菜,腸管出血性大腸菌,O103,95,0,厚生労働省指定品目
2015,野菜,漬物用野菜,腸管出血性大腸菌,O111,139,0,厚生労働省指定品目
2015,野菜,漬物用野菜,腸管出血性大腸菌,O121,95,0,厚生労働省指定品目
2015,野菜,漬物用野菜,腸管出血性大腸菌,O145,95,0,厚生労働省指定品目
2015,野菜,漬物用野菜,腸管出血性大腸菌,O157,139,0,厚生労働省指定品目
2015,野菜,漬物用野菜,腸管出血性大腸菌,O26,139,0,厚生労働省指定品目
2015,野菜,豆苗,E.coli,-,15,0,厚生労働省指定品目
2015,野菜,豆苗,サルモネラ属菌,-,10,0,厚生労働省指定品目
2015,野菜,豆苗,総検体数,-,,,厚生労働省指定品目
2015,野菜,豆苗,腸管出血性大腸菌,O103,9,0,厚生労働省指定品目
2015,野菜,豆苗,腸管出血性大腸菌,O111,10,0,厚生労働省指定品目
2015,野菜,豆苗,腸管出血性大腸菌,O121,9,0,厚生労働省指定品目
2015,野菜,豆苗,腸管出血性大腸菌,O145,9,0,厚生労働省指定品目
2015,野菜,豆苗,腸管出血性大腸菌,O157,10,0,厚生労働省指定品目
2015,野菜,豆苗,腸管出血性大腸菌,O26,10,0,厚生労働省指定品目
2015,食肉,その他の加工用食肉等*3,E.coli,-,5,4,実選施定自品治目体
2015,食肉,その他の加工用食肉等*3,カンピロバクター,-,4,1,実選施定自品治目体
2015,食肉,その他の加工用食肉等*3,サルモネラ属菌,-,7,2,実選施定自品治目体
2015,食肉,その他の加工用食肉等*3,総検体数,-,,,実選施定自品治目体
2015,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O103,4,0,実選施定自品治目体
2015,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O111,6,0,実選施定自品治目体
2015,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O121,4,0,実選施定自品治目体
2015,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O145,4,0,実選施定自品治目体
2015,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O157,6,0,実選施定自品治目体
2015,食肉,その他の加工用食肉等*3,腸管出血性大腸菌,O26,6,0,実選施定自品治目体
2015,食肉,カットステーキ肉,E.coli,-,3,3,厚生労働省指定品目
2015,食肉,カットステーキ肉,サルモネラ属菌,-,67,4,厚生労働省指定品目
2015,食肉,カットステーキ肉,総検体数,-,,,厚生労働省指定品目
2015,食肉,カットステーキ肉,腸管出血性大腸菌,O103,54,0,厚生労働省指定品目
2015,食肉,カットステーキ肉,腸管出血性大腸菌,O111,67,0,厚生労働省指定品目
