調査年,食品取扱区分,食品カテゴリ,食品名,食品詳細,検査方法,細菌名,汚染濃度,単位,実施機関,調査名,source URL,閲覧日,備考
2010~2011,食材,鶏肉,鶏レバー（肝臓）,鶏群D,MPN,Salmonella spp.,Not detected,MPN/100g,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のサルモネラ濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,食品詳細:鶏群D
2010~2011,食材,鶏肉,鶏レバー（肝臓）,鶏群D,MPN,Salmonella spp.,Not detected,MPN/100g,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のサルモネラ濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,食品詳細:鶏群D
2010~2011,食材,鶏肉,鶏レバー（肝臓）,鶏群D,MPN,Salmonella spp.,Not detected,MPN/100g,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のサルモネラ濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,食品詳細:鶏群D
2010~2011,食材,鶏肉,鶏レバー（肝臓）,鶏群D,MPN,Salmonella spp.,Not detected,MPN/100g,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のサルモネラ濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,食品詳細:鶏群D
2010~2011,食材,鶏肉,鶏レバー（肝臓）,鶏群D,MPN,Salmonella spp.,Not detected,MPN/100g,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のサルモネラ濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,食品詳細:鶏群D
2010~2011,食材,鶏肉,鶏レバー（肝臓）,鶏群E,MPN,Salmonella spp.,Not detected,MPN/100g,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のサルモネラ濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,食品詳細:鶏群E
2010~2011,食材,鶏肉,鶏レバー（肝臓）,鶏群E,MPN,Salmonella spp.,Not detected,MPN/100g,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のサルモネラ濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,食品詳細:鶏群E
2010~2011,食材,鶏肉,鶏レバー（肝臓）,鶏群E,MPN,Salmonella spp.,Not detected,MPN/100g,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のサルモネラ濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,食品詳細:鶏群E
2010~2011,食材,鶏肉,鶏レバー（肝臓）,鶏群E,MPN,Salmonella spp.,Not detected,MPN/100g,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のサルモネラ濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,食品詳細:鶏群E
2010~2011,食材,鶏肉,鶏レバー（肝臓）,鶏群E,MPN,Salmonella spp.,Not detected,MPN/100g,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のサルモネラ濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,食品詳細:鶏群E
2010~2011,非可食部,鶏肉,盲腸内容物,,plate_count,Campylobacter jejuni/coli,1.00E+04 以上,CFU/g,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,"other: カンピロバクター陽性の鶏群, 168/188が1.0×104 CFU/g 以上"
2010~2011,食材,鶏肉,中抜きと体,,plate_count,Campylobacter jejuni/coli,6.30E+03,CFU/と体,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,value: 平均値; other: カンピロバクター陽性の 18 鶏群から製造された中抜きと体;
2010~2011,食材,鶏肉,中抜きと体,,plate_count,Campylobacter jejuni/coli,6.00E+01,CFU/と体,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,"value: 平均値; other: カンピロバクター陰性の鶏群, 陽性鶏群の直後に処理された陰性鶏群から製造された中抜きと体;"
2010~2011,食材,鶏肉,中抜きと体,,plate_count,Campylobacter jejuni/coli,5.0E+01未満,CFU/と体,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,"value: 平均値; other: カンピロバクター陰性の鶏群, 陽性鶏群より前に処理された陰性鶏群から製造された中抜きと体;"
2010~2011,食材,鶏肉,鶏レバー（肝臓）,,plate_count,Campylobacter jejuni/coli,4.00E+02,CFU/ｇ,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,value: 平均値; other: カンピロバクター陽性の鶏群;
2010~2011,食材,鶏肉,鶏レバー（肝臓）,,plate_count,Campylobacter jejuni/coli,1.0E+02未満,CFU/ｇ,農林水産省,ブロイラー鶏群から製造された中抜きと体及び鶏肉のカンピロバクター濃度調査,https://www.maff.go.jp/j/syouan/seisaku/kekka/attach/pdf/chikusan-1.pdf,,value: 平均値; other: カンピロバクター陰性の鶏群;
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,<10,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,"Serotype: 1/2c, Aw: 0.884;食品詳細:-"
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,<10,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,"Serotype: 1/2a, Aw: 0.921;食品詳細:-"
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,<10,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,"Serotype: 1/2a, Aw: 0.953;食品詳細:-"
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,<10,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,"Serotype: 1/2b, Aw: 0.819;食品詳細:-"
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,10,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,"Serotype: 3b, Aw: 0.891;食品詳細:-"
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,40,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,"Serotype: 1/2c, Aw: 0.889;食品詳細:-"
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,サラミ,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2006–2008,Ready-to-eat,豚肉,生ハム,-,定量検査,Listeria monocytogenes,Not detected,CFU/g,国立医薬品食品衛生研究所,The Occurrence of Listeria monocytogenes in Imported Ready-to-Eat Foods in Japan,https://doi.org/10.1292/jvms.11-0262,,食品詳細:-
2005,食材,豚肉,豚ミンチ肉,,MPN,Staphylococcus aureus,0.3~0.92,MPN/g,神戸大学,市販ミンチ肉における黄色ブドウ球菌汚染調査と分離株の性状,https://www.jstage.jst.go.jp/article/jsfm1994/23/4/23_4_217/_pdf/-char/ja,2025/9/16,
2005,食材,豚肉,豚ミンチ肉,,MPN,Staphylococcus aureus,0.3~0.92,MPN/g,神戸大学,市販ミンチ肉における黄色ブドウ球菌汚染調査と分離株の性状,https://www.jstage.jst.go.jp/article/jsfm1994/23/4/23_4_217/_pdf/-char/ja,2025/9/16,
2005,食材,豚肉,豚ミンチ肉,,MPN,Staphylococcus aureus,0.3~0.92,MPN/g,神戸大学,市販ミンチ肉における黄色ブドウ球菌汚染調査と分離株の性状,https://www.jstage.jst.go.jp/article/jsfm1994/23/4/23_4_217/_pdf/-char/ja,2025/9/16,
